Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
BAGFILMS,BAG Films and Media Ltd.,,-0.02,-0.02,0.1,13.27,13.27,0,1.79,0.31,0.19,0.01,-0.01,,17.11,10.72,0.33,-0.77,-0.1,1.42,-0.08,0,0.11,,0.93,0.45,0,0,0,0,0,,72.85,2.06,12.05,2.08,0,0.28,2.08,0,
BAJAJCON,Bajaj Consumer Care Ltd.,,9.52,9.51,10.37,57.55,57.55,5,66.6,12.51,11.95,11.88,9.8,,18.79,17.93,17.84,14.71,17.03,20.51,14.72,0,1,,6.08,5.66,4.81,42.21,39.9,57.79,60.1,,"2,152.88",2.27,12.06,2.28,57.78,2.64,2.28,0.06,
BAJAJELEC,Bajaj Electricals Ltd.,,20.05,20.01,26.58,170.41,170.41,4,470.77,38.31,31.76,27.61,20.03,,8.13,6.74,5.86,4.25,11.75,17.29,4.88,0,1.24,,1.32,0.92,0.52,14.94,11.26,85.06,88.74,,"11,738.07",2.17,26.63,2.23,85.05,6.17,2.23,0.02,
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,,-1.19,-1.19,0.53,35.47,35.47,0,50.64,2.19,0.47,-1.22,-1.19,,4.31,0.93,-2.4,-2.34,-3.34,0.62,-0.95,0.96,0.43,,0.83,0.41,1.9,0,0,0,0,,"5,827.54",0.92,21.43,0.25,0,0.36,0.25,-0.09,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,,153.8,153.8,156.66,"1,407.61","1,407.61",123,168.49,163.32,160.46,159.84,153.79,,96.93,95.23,94.86,91.27,10.92,11.03,10.48,0,0.12,,119.16,119.16,0,87.78,86.17,12.22,13.83,,"65,843.54",35.11,36.22,35.13,12.21,4.21,35.13,0.03,
BALAMINES,Balaji Amines Ltd.,,70.18,70.18,79.88,432.19,432.19,10,532.79,104.74,95.09,94.25,70.23,,19.65,17.84,17.68,13.18,16.24,21.05,14.66,0,1.06,,8.77,5.74,4.32,8.54,7.51,91.46,92.49,,"6,133.26",3.55,18.07,3.65,91.45,4.49,3.65,0.04,
BALAXI,Balaxi Pharmaceuticals Ltd.,,16.17,16.02,16.44,90.47,90.47,0,106.21,23.01,22.5,22.05,15.93,,21.66,21.18,20.76,15,17.61,24.14,12.5,0.12,1.02,,2.84,2.8,0,3.08,2.98,96.92,97.02,,532.84,4.93,22.75,4.99,96.91,5.86,4.99,0.03,
BALKRISHNA,Balkrishna Paper Mills Ltd.,,-48.3,-48.3,-42.6,-140.1,-140.1,0,101.77,-33.15,-38.85,-48.45,-48.3,,-32.57,-38.17,-47.6,-47.46,0,-85.23,-38.48,-0.63,0.68,,0.16,0.07,2.7,0,0,0,0,,254.25,2.33,-7.14,0.24,0,-0.17,0.24,-2,
BALMLAWRIE,Balmer Lawrie & Co Ltd.,,9,9,11.74,79.31,79.31,7.5,135.08,15.67,12.93,12.36,9,,11.6,9.57,9.14,6.66,11.34,15.08,7.34,0,1.14,,2.13,1.8,7.89,72.24,55.35,27.76,44.65,,"1,446.89",0.63,5.4,0.82,27.75,1.4,0.82,0.08,
BALPHARMA,Bal Pharma Ltd.,,3.9,3.94,8.67,61.21,61.21,1,193.18,17.96,13.2,5.45,3.9,,9.29,6.83,2.82,2.02,6.37,15.27,1.76,1.3,0.95,,1.27,0.81,2.06,25.41,11.44,74.59,88.56,,222.89,0.74,7.91,0.35,74.58,1.09,0.35,0.06,
BALRAMCHIN,Balrampur Chini Mills Ltd.,,13.51,13.51,20.08,142.53,142.53,2.5,231.27,28.51,22.09,19.68,13.66,,12.32,9.55,8.5,5.9,9.58,12.96,5.1,0.65,0.94,,1.31,0.13,1.51,18.45,12.55,81.55,87.45,,"9,855.99",2.11,17.14,1.71,81.54,2.78,1.71,0.03,
BANARBEADS,Banaras Beads Ltd.,,3.83,3.83,5.71,79.89,79.89,2,40.78,8.22,6.36,5.16,3.85,,20.16,15.58,12.66,9.43,4.81,7.87,4.54,0.01,0.47,,12.13,3.65,0.57,52.18,35.14,47.82,64.86,,51.38,1.91,9.45,1.94,47.81,0.99,1.94,0.05,
BANARISUG,Bannariamman Sugars Ltd.,,114.35,114.35,173.39,"1,237.58","1,237.58",12.5,"2,014.06",273.99,214.95,175.61,114.35,,13.6,10.67,8.71,5.67,9.23,15.09,6.07,0.37,1.03,,2.04,0.34,1.72,8.74,5.76,91.26,94.24,,"3,986.56",1.58,11.6,1.35,91.25,2.2,1.35,0.04,
BANCOINDIA,Banco Products (India) Ltd.,,34.33,34.33,37.29,102.1,102.17,22,140.35,42.28,39.33,39.28,34.33,,30.12,28.02,27.98,24.46,33.62,37.78,29.1,0,1.23,,5.13,2.62,2.86,23.3,21.45,76.7,78.55,,"1,593.71",1.59,5.27,1.6,76.69,2.2,1.6,0.15,
BANDHANBNK,Bandhan Bank Ltd.,,13.62,13.62,14.51,121.58,121.58,0,98.74,13.62,,"2,281,813.95","314,860.12","30,533,712.32",,"112,719,345.15","15,553,777.46","1,508,335,092.84",,4.65,39.28,13.79,-1.72,1.4,11.2,5.94,51.88,10.21,1.58,-0.17,2.97,4.26,,"156,977.62",9.87,1.61,1.98,100,0.07,,
BANKINDIA,Bank Of India,,9.8,9.8,10.83,126.88,143.68,2,116.09,9.8,,"9,126,342.64","770,545.31","221,319,199.08",,"92,898,659.19","7,843,517.25","2,252,847,351.34",,1.68,38.41,8.44,-6.45,0.49,7.72,2.48,42.65,5.84,0.87,-0.37,1.71,3.35,,"721,251.01",15.14,0.59,0.64,79.59,0.13,,
BANSWRAS,Banswara Syntex Ltd.,,32.55,32.55,44.46,148.71,148.71,3,437.83,62.14,50.23,40.95,32.55,,14.19,11.47,9.35,7.43,21.88,25.99,10.42,0.73,1.54,,1.53,0.76,2.25,3.84,2.81,96.16,97.19,,748.39,0.5,3.52,0.28,96.15,0.81,0.28,0.27,
BASF,BASF India Ltd.,,93.1,93.1,135.13,623.97,623.97,8,"3,151.95",167.26,125.2,125.53,93.07,,5.3,3.97,3.98,2.95,14.91,18.99,6.13,0,2.15,,1.47,0.87,2.27,6.44,4.43,93.56,95.57,,"9,498.38",0.7,13.12,0.72,93.55,3.65,0.72,0.04,
BASML,Bannari Amman Spinning Mills Ltd.,,-5.37,-5.37,-0.87,62.53,62.53,0,168.89,4.06,-0.44,-7.79,-5.37,,2.4,-0.26,-4.61,-3.18,-8.58,-0.4,-3.08,1.39,1,,1.25,0.58,3.59,-11.17,-69.2,111.17,169.2,,801.06,0.73,30.41,0.22,111.17,0.6,0.22,-0.14,
BATAINDIA,Bata India Ltd.,,24.83,24.83,47.76,111.56,111.56,13.5,268.55,64.44,41.51,33.12,24.83,,23.99,15.45,12.33,9.24,22.25,21.83,9.77,0,1.02,,1.95,0.85,0.29,219.5,114.11,-119.5,-14.11,,"17,714.93",5.13,21.39,5.28,-119.5,12.72,5.28,0.02,
BBL,Bharat Bijlee Ltd.,,147.26,147.26,170.14,"2,437.72","2,437.72",40,"2,509.90",258.97,236.09,197.04,147.26,,10.31,9.4,7.85,5.86,6.04,9.23,4.05,0.21,0.76,,1.72,1.2,4.15,20.37,17.63,79.63,82.37,,"1,701.90",1.2,11.63,1.01,79.62,1.04,1.01,0.06,
BBTC,Bombay Burmah Trading Corporation Ltd.,,1.26,1.26,2.28,29.49,29.49,1.2,35.03,7.37,6.35,-32.84,1.26,,21.03,18.12,-93.72,3.59,4.26,10.73,0.69,4.62,0.19,,0.67,0.59,1.84,95.29,52.65,4.71,47.35,,"6,560.07",26.82,127.51,23.17,4.7,27.53,23.17,0,
BEARDSELL,Beardsell Ltd.,,2.24,2.24,3.57,15.78,15.78,0.1,58.6,5.27,3.93,3.01,2.24,,8.98,6.7,5.12,3.81,14.18,21.51,6.04,0.44,1.72,,1.27,1.01,8.31,3.59,2.25,96.41,97.75,,91.06,0.41,4.61,0.33,96.4,1.24,0.33,0.11,
BEDMUTHA,Bedmutha Industries Ltd.,,3.91,3.91,13.8,31.1,31.1,0,212.86,24.21,14.32,3.91,3.91,,11.37,6.72,1.83,1.83,12.57,16.56,2.52,1.53,1.38,,1.38,1.04,8.27,0,0,0,0,,429.6,0.63,5.5,0.28,0,1.94,0.28,0.06,
BEL,Bharat Electronics Ltd.,,4.11,4.11,4.67,18.58,18.58,1.8,24.14,6.03,5.47,5.45,4.11,,24.97,22.66,22.58,17.03,22.13,27.49,8.57,0,0.52,,1.46,1.15,1.57,41.33,36.39,58.67,63.61,,"63,298.10",3.59,14.36,4.04,58.66,5.25,4.04,0.04,
BEPL,Bhansali Engineering Polymers Ltd.,,8.19,8.19,8.79,64.27,64.27,17,82.13,12.41,11.81,11.74,8.19,,15.1,14.38,14.29,9.97,12.74,18.05,11.66,0,1.2,,10.88,8.73,4.75,36.61,34.12,63.39,65.88,,"1,343.89",0.99,6.53,1.19,63.38,1.52,1.19,0.08,
BERGEPAINT,Berger Paints India Ltd.,,8.53,8.53,10.94,44.22,44.22,3.2,97.49,14.65,12.24,11.35,8.53,,15.02,12.55,11.64,8.74,19.28,25.27,11.19,0.16,1.35,,1.34,0.54,2.45,36.34,28.34,63.66,71.66,,"56,977.43",6.02,40.04,5.96,63.65,13.15,5.96,0.01,
BGRENERGY,BGR Energy Systems Ltd.,,-66.32,-66.32,-64,55.88,55.88,0,111.73,-30.35,-32.67,-88.03,-66.32,,-27.16,-29.24,-78.78,-59.35,-118.67,-30.17,-9.8,4.57,0.16,,1,0.99,14.03,0,0,0,0,,"1,895.41",2.35,-8.65,0.42,0,0.83,0.42,-1.42,
BHAGERIA,Bhageria Industries Ltd.,,3.45,3.45,11.34,115.57,115.57,1,114.9,13.32,5.43,4.75,3.45,,11.59,4.72,4.13,3,2.98,4.35,2.39,0.07,0.79,,2.79,2.28,6.28,116.01,35.28,-16.01,64.72,,531.48,1.06,9.14,1.02,-16.01,1.02,1.02,0.03,
BHANDARI,Bhandari Hosiery Exports Ltd.,,0.44,0.44,0.8,5.95,5.95,0.01,19.33,1.6,1.24,0.54,0.44,,8.27,6.43,2.78,2.29,7.46,15.56,2.99,1.08,1.3,,1.64,0.84,2.81,2.25,1.25,97.75,98.75,,154.89,0.55,6.61,0.22,97.74,0.73,0.22,0.1,
BHARATFORG,Bharat Forge Ltd.,,22.45,22.45,31.6,165.37,165.37,7,162.63,44.28,35.13,29.7,22.45,,27.22,21.59,18.25,13.8,13.57,17.19,7.36,0.58,0.56,,1.36,1.09,2.82,31.17,22.14,68.83,77.86,,"39,891.80",5.27,19.35,4.74,68.82,4.66,4.74,0.03,
BHARATGEAR,Bharat Gears Ltd.,,8.78,8.78,21.85,78.51,78.51,0,499.1,35.65,22.59,11.46,8.78,,7.14,4.52,2.29,1.75,11.18,15.09,3.31,0.85,1.89,,1.44,0.88,4.37,0,0,0,0,,254.57,0.33,4.65,0.21,0,1.31,0.21,0.09,
BHARATRAS,Bharat Rasayan Ltd.,,314.86,314.86,377.5,"2,169.06","2,169.06",1.5,"2,970.60",521.37,458.73,433.75,314.86,,17.55,15.44,14.6,10.59,14.51,20.92,12.09,0.03,1.14,,4.64,2.74,2.85,0.47,0.39,99.53,99.61,,"3,772.42",3.06,17.41,3.06,99.52,4.19,3.06,0.03,
BHARATWIRE,Bharat Wire Ropes Ltd.,,9.68,9.68,12.21,82.5,82.5,0,86.76,20.54,17.5,14.23,9.17,,23.67,20.17,16.4,10.56,11.11,16.75,7.96,0.32,0.76,,3.82,2.28,3.56,0,0,0,0,,"1,224.97",2.08,8.78,1.79,0,1.88,1.79,0.06,
BHARTIARTL,Bharti Airtel Ltd.,,-0.16,-0.16,46.3,138.62,138.62,4,149.33,81.85,35.39,2.24,-0.16,,54.8,23.69,1.49,-0.1,-0.11,7.8,-0.02,1.79,0.27,,0.52,0.52,0,"-1,967.63",6.71,"2,067.63",93.29,,"564,120.68",6.66,12.15,5.02,"2,067.63",5.4,5.02,0,
BHEL,Bharat Heavy Electricals Ltd.,,1.29,1.29,2.03,78.29,78.29,0.4,67.1,3.54,2.79,1.29,1.29,,5.27,4.15,1.92,1.91,1.64,2.66,0.74,0.2,0.4,,1.29,1,0.94,0,0,0,0,,"23,162.04",0.99,18.81,1.05,0,0.9,1.05,0.02,
BIL,Bhartiya International Ltd.,,13.25,13.23,21.28,261.67,261.67,0,544.3,54.15,46.12,17.89,13.25,,9.94,8.47,3.28,2.43,5.06,12.07,1.79,1.43,0.76,,1.54,0.38,0.73,0,0,0,0,,633.44,0.95,9.58,0.31,0,0.64,0.31,0.08,
BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Ltd.,,0.34,0.34,0.61,10.63,10.63,0,18.46,0.78,0.51,0.49,0.34,,4.21,2.78,2.64,1.86,3.23,4.72,1.78,0.03,1.2,,1.63,1.54,3.13,0,0,0,0,,67.93,2.26,53.71,2.25,0,3.9,2.25,0.01,
BIRLAMONEY,Aditya Birla Money Ltd.,,6.01,6.01,7.18,19.34,19.34,0,46.58,18.23,17.05,8.27,6.01,,39.13,36.6,17.75,12.89,31.05,9.33,2.48,8.02,0.2,,3.89,3.89,0,0,0,0,0,,569.15,2.16,5.53,0.98,0,2.36,0.98,0.13,
BLBLIMITED,BLB Ltd.,,1.14,1.14,1.19,17.72,17.72,0,41.39,1.58,1.53,1.51,1.14,,3.81,3.69,3.64,2.76,6.45,8.62,6.17,0.04,2.29,,16,11.31,0,0,0,0,0,,112.56,0.51,13.48,0.52,0,1.22,0.52,0.05,
BLISSGVS,Bliss GVS Pharma Ltd.,,8.23,8.1,9.66,89.96,89.96,0.5,57.45,13.53,12.07,11.11,8.21,,23.55,21.01,19.33,14.28,9.12,12.74,7.5,0.08,0.54,,4.76,4.27,3.58,6.07,5.15,93.93,94.85,,734.56,1.23,5.21,1.24,93.92,0.79,1.24,0.12,
BLKASHYAP,BL Kashyap & Sons Ltd.,,2.31,2.31,2.68,28.63,28.63,0,48.42,5.7,5.33,3.27,2.31,,11.77,11,6.74,4.76,8.05,15.74,3.58,0.47,0.75,,1.33,0.86,1.63,0,0,0,0,,984.31,0.9,7.66,0.64,0,1.08,0.64,0.07,
BLUECHIP,Blue Chip India Ltd.,,0.12,0.12,0.12,0.87,0.87,0,0,-0.04,-0.04,0.12,0.12,,"-7,433.33","-7,433.33","25,525.92","25,525.92",14.38,-4.1,7.26,0,0,,1.72,1.72,0,0,0,0,0,,2.7,999.6,-13.45,"1,003.67",0,0.57,"1,225.00",0.25,
BLUECOAST,Blue Coast Hotels Ltd.,,-5.6,-5.6,-5.53,-91.12,-91.12,0,0,-0.91,-0.99,-4.24,-5.6,,0,0,0,0,0,1.68,-65.85,0,0,,0.12,0.12,0,0,0,0,0,,45.45,0,-39.08,0,0,-0.04,0,-1.47,
BLUEDART,Blue Dart Express Ltd.,,154.43,154.43,224.36,530.45,530.45,30,"2,176.86",287.37,217.24,209.91,154.23,,13.2,9.97,9.64,7.08,29.07,36.44,15.7,0,2.37,,1.08,1.07,0,22.66,15.57,77.34,84.43,,"14,645.83",2.83,21.45,2.85,77.33,11.7,2.85,0.02,
BLUESTARCO,Blue Star Ltd.,,38.06,38.06,46.41,132.75,132.75,12,763.56,49.05,40.7,52.4,38.07,,6.42,5.33,6.86,4.98,28.67,28.71,7.64,0.37,1.66,,1.08,0.7,3.92,26.26,21.54,73.74,78.46,,"13,565.83",1.84,28.72,1.8,73.73,10.38,1.8,0.03,
BODALCHEM,Bodal Chemicals Ltd.,,2.48,2.48,6.63,89.67,89.67,0.1,123.79,10.28,6.13,3.39,2.48,,8.3,4.94,2.73,2,2.76,4.97,1.44,0.67,0.73,,1.31,0.86,2.42,31.5,11.77,68.5,88.23,,"1,472.85",0.95,11.41,0.47,68.49,0.64,0.47,0.04,
BOMDYEING,The Bombay Dyeing Co. Ltd.,,-25.01,-25.01,-23.4,-61.69,-61.69,0,129.45,3.28,1.67,-23.65,-25.01,,2.53,1.28,-18.27,-19.32,0,2.39,-17.26,-2.86,0.74,,1.03,0.32,0.89,0,0,0,0,,"4,630.72",1.73,68.39,0.44,0,-0.92,0.44,-0.44,
BORORENEW,Borosil Renewables Ltd.,,6.79,6.79,10.62,67.25,67.25,0,52.73,13.53,9.7,9.13,6.79,,25.65,18.39,17.31,12.86,10.08,10.73,6.36,0.41,0.56,,1.46,0.64,1.42,0,0,0,0,,"5,731.82",8.33,32.46,7.81,0,6.13,7.81,0.02,
BOSCHLTD,Bosch Ltd.,,482.99,482.99,613.59,"3,732.95","3,732.95",480,"5,060.78",772.92,642.2,638.1,482.88,,15.27,12.68,12.6,9.54,12.93,16.86,8.76,0,0.94,,1.76,1.38,1.8,84.88,66.8,15.12,33.2,,"54,993.74",3.68,24.12,3.82,15.11,5.18,3.82,0.02,
BPL,BPL Ltd.,,14.38,14.38,1.51,48.18,48.18,0,10.66,3.33,2.98,2.69,1.17,,31.18,27.95,25.21,10.94,2.42,6.13,1.33,0.73,0.13,,0.53,0.51,5.99,0,0,0,0,,431.2,8.26,26.48,5.01,0,1.11,5.01,0.02,
BRIGADE,Brigade Enterprises Ltd.,,16.7,16.66,20.13,170.29,170.29,2,95.73,29.47,26.02,21.75,16.69,,30.77,27.17,22.72,17.42,9.79,11.18,4.21,0.36,0.25,,1.25,0.36,0.01,8.97,7.44,91.03,92.56,,"11,767.56",5.33,17.31,4.95,91.02,2.78,4.95,0.04,
BRITANNIA,Britannia Industries Ltd.,,88.82,88.82,96.9,132.05,132.05,72,648.34,122.97,114.87,117.89,88.8,,18.96,17.71,18.18,13.69,67.24,57.73,24.76,0.84,2,,1.15,0.87,6.09,63.61,58.29,36.39,41.71,,"106,714.91",6.83,36.02,6.67,36.38,32.73,6.67,0.02,
BRNL,Bharat Road Network Ltd.,,-9.55,-9.55,-9.54,88.46,88.46,0,3.18,-4.6,-4.61,-11.57,-9.55,,-144.34,-144.6,-363.37,-299.84,-10.79,-3.81,-7.01,0.41,0.02,,2.84,2.84,0,0,0,0,0,,461.8,17.27,-11.97,8.29,0,0.3,8.29,-0.36,
BSL,BSL Ltd.,,16.43,16.43,26.98,101.12,101.12,1.5,458.35,52.85,42.29,21.92,16.43,,11.52,9.22,4.78,3.58,16.24,16.1,3.14,3.32,1.06,,1.14,0.45,1.46,7.3,4.44,92.7,95.56,,504.31,1.07,9.27,0.34,92.69,1.53,0.34,0.11,
BSOFT,Birlasoft Ltd.,,7.23,7.2,10.05,44.42,44.42,3.5,87.94,12.84,10.08,9.72,7.29,,14.6,11.46,11.05,8.28,16.41,20.87,12.36,0,1.33,,2.94,2.94,0,62.36,45.22,37.64,54.78,,"6,912.03",2.86,19.58,2.97,37.63,5.88,2.97,0.03,
BURNPUR,Burnpur Cement Ltd.,,-8.22,-8.22,-6.94,-41.51,-40.97,0,16.98,1.37,0.09,-8.16,-8.22,,8.07,0.5,-48.05,-48.44,0,-0.22,-32.58,-1.45,0.65,,0.02,0.01,12.34,0,0,0,0,,554.47,3.79,46.98,0.27,0,-0.11,0.27,-1.78,
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd.,,28.9,28.9,37.93,159.31,159.76,0,590.93,57.67,48.64,45,28.9,,9.75,8.23,7.61,4.89,18.13,28.92,10.27,0,2.07,,1.64,1.02,2.55,0,0,0,0,,"2,103.80",1.99,20.4,2.05,0,7.6,2.05,0.02,
CAMLINFINE,Camlin Fine Sciences Ltd.,,3.18,3.14,5.12,40.67,40.67,0,50.25,9.96,7.87,4.24,3.03,,19.81,15.65,8.43,6.02,7.44,12.81,2.98,0.95,0.54,,1.39,0.99,2.04,0,0,0,0,,"2,595.09",3.29,16.59,2.53,0,3.13,2.53,0.02,
CANBK,Canara Bank,,58.45,58.45,63.92,364.54,405.74,12,465.37,58.45,,"9,934,898.70","1,247,824.72","236,519,000.11",,"86,982,054.61","10,924,958.69","2,070,771,851.54",,2.11,31.08,12.56,-9.66,0.78,16.03,2.33,38.37,6.27,1.39,-0.6,1.67,3.93,,"1,233,931.96",14.62,0.78,0.61,79.46,0.21,,
CANFINHOME,Can Fin Homes Ltd.,,46.65,46.65,47.58,273.89,273.89,3.5,205.91,190.54,189.61,61.88,46.65,,92.53,92.08,30.05,22.65,17.03,23.92,1.87,7.97,0.09,,1.46,1.46,0,6.43,6.3,93.57,93.7,,"35,805.39",13.06,14.11,2.57,93.56,1.93,2.57,0.09,
CANTABIL,Cantabil Retail India Ltd.,,41.18,41.18,73.34,135.58,135.58,4.5,337.9,102.93,70.77,54.68,41.18,,30.46,20.94,16.18,12.18,30.37,24.51,11.01,0.11,1,,1.71,0.14,0.79,8.49,4.77,91.51,95.23,,"1,376.54",2.5,8.19,2.46,91.5,6.12,2.46,0.05,
CAPACITE,Capacite Infraprojects Ltd.,,13.89,13.83,33.93,158.13,158.13,0,263.77,53.08,33.04,19.88,13.89,,20.12,12.52,7.53,5.26,8.78,15.82,3.61,0.34,0.72,,1.45,1.37,6.39,0,0,0,0,,"1,006.23",0.56,2.79,0.45,0,0.75,0.45,0.12,
CAPTRUST,Capital Trust Ltd.,,-28.14,-28.14,-27.86,45.96,45.96,0,53.04,-24.2,-24.48,-37.82,-28.14,,-45.63,-46.16,-71.3,-53.06,-61.23,-51.19,-24.31,1.29,0.29,,1.18,1.18,0,0,0,0,0,,110.99,1.29,-2.83,1.03,0,1.18,1.03,-0.52,
CARBORUNIV,Carborundum Universal Ltd.,,17.43,17.38,21.35,105.51,105.64,3.5,132.14,26.13,22.21,22.73,17.42,,19.77,16.8,17.19,13.18,16.51,20.83,13.57,0.05,1.07,,2.01,1.09,2.56,20.08,16.39,79.92,83.61,,"18,892.75",7.53,38.07,7.49,79.91,9.38,7.49,0.02,
CARERATING,CARE Ratings Ltd.,,35,35,37.66,233.96,233.96,25,83.78,49.46,46.75,46.51,34.95,,59.03,55.79,55.51,41.71,14.93,19.22,13.52,0,0.34,,12.39,12.39,0,57.15,53.04,42.85,46.96,,"1,866.39",7.5,12.71,7.67,42.84,2.75,7.67,0.05,
CCHHL,Country Club Hospitality & Holidays Ltd.,,-8.98,-8.98,-8.19,22.61,22.76,0,3.93,-7.57,-8.35,-8.87,-8.98,,-192.83,-212.81,-225.9,-228.7,-39.69,-23.88,-20.89,0.31,0.08,,0.3,0.3,0,0,0,0,0,,216.15,3.37,-1.75,1.57,0,0.27,1.57,-1.45,
CEATLTD,Ceat Ltd.,,50.99,50.99,167,827.1,827.1,12,"2,784.49",251.15,135.15,67.79,50.99,,9.01,4.85,2.43,1.83,6.16,10.19,2.17,0.62,1.22,,0.64,0.37,6.1,5.88,1.79,94.12,98.21,,"7,878.46",0.7,7.75,0.52,94.11,1.75,0.52,0.04,
CELEBRITY,Celebrity Fashions Ltd.,,1.3,1.3,2.66,4.94,4.94,0,67.38,4,2.47,1.14,1.14,,5.93,3.67,1.68,1.68,23.03,25.86,3.4,2.31,2.01,,1.14,0.4,2.71,0,0,0,0,,143.42,0.39,6.64,0.19,0,2.63,0.19,0.09,
CENTEXT,Century Extrusions Ltd.,,0.75,0.75,1.13,8.14,8.14,0,46.5,2.76,2.38,1.08,0.75,,5.93,5.11,2.32,1.6,9.16,26.05,4.49,0.72,2.76,,1.68,1.14,7.68,0,0,0,0,,101.7,0.27,4.61,0.18,0,1.01,0.18,0.09,
CENTRALBK,Central Bank of India,,1.82,1.82,2.27,29.33,33.53,0,29.42,1.82,,"8,300,907.47","514,202.53","182,736,683.46",,"56,848,191.19","3,521,480.53","1,251,459,548.19",,1.73,50.45,6.19,-9.79,0.38,6.21,2.87,47.89,6.28,1,-0.61,2.18,3.41,,"360,955.45",14.13,0.82,0.82,100,0.08,,
CENTUM,Centum Electronics Ltd.,,15.06,14.91,27.65,219.36,219.36,4,389.67,45.29,32.69,20.47,15.06,,11.62,8.38,5.25,3.86,6.86,13.65,2.74,0.37,0.8,,1.22,0.63,1.47,16.6,9.03,83.4,90.97,,996.14,1.98,17.07,1.81,83.39,3.22,1.81,0.02,
CENTURYPLY,Century Plyboards Ltd.,,16.51,16.51,19.74,85.29,85.29,1,162.71,26.15,22.89,22.2,16.49,,16.07,14.07,13.64,10.13,19.32,26.21,13.91,0.14,1.49,,1.95,1.22,2.82,9.08,7.58,90.92,92.42,,"10,370.34",2.86,17.82,2.86,90.91,5.46,2.86,0.04,
CENTURYTEX,Century Textiles and Industries Ltd.,,32.98,32.98,52.92,374.66,374.66,5,429.33,63.34,43.39,47.42,32.98,,14.75,10.1,11.04,7.68,8.8,9.12,4.93,0.22,0.66,,1.05,0.22,1.73,12.13,7.55,87.87,92.45,,"7,900.89",1.65,11.17,1.48,87.86,1.69,1.48,0.05,
CERA,Cera Sanitaryware Ltd.,,161.2,161.2,184.61,899,899,50,"1,381.07",248.02,224.61,216.62,161.2,,17.95,16.26,15.68,11.67,17.93,23.12,12.66,0.02,1.17,,3.23,2.27,0.66,21.71,18.95,78.29,81.05,,"8,297.36",4.62,25.72,4.62,78.28,7.1,4.62,0.03,
CEREBRAINT,Cerebra Integrated Technologies Ltd.,,2.45,2.45,0.26,23.7,23.7,0,7.7,0.92,0.88,0.01,0.23,,11.95,11.46,0.19,2.92,0.95,3.71,0.62,0.15,0.21,,1.65,1.32,1.8,0,0,0,0,,119.58,1.39,11.6,0.94,0,0.3,0.94,0.03,
CGPOWER,CG Power and Industrial Solutions Ltd.,,5.18,5.14,5.63,15.91,15.91,1.5,43.08,6.65,6.17,6.44,5.14,,15.44,14.31,14.94,11.93,32.31,37.84,18.61,0,1.63,,1.54,1.25,9.35,29.16,26.63,70.84,73.37,,"45,170.12",6.87,44.45,6.96,70.83,18.86,6.96,0.02,
CHALET,Chalet Hotels Ltd.,,9.16,9.16,14.88,72.98,72.98,0,55.04,24.68,18.96,13.52,9.16,,44.84,34.45,24.56,16.63,12.54,10.06,3.8,1.74,0.24,,0.65,0.27,0,0,0,0,0,,"10,144.42",8.99,20.05,6.59,0,4.97,6.59,0.03,
CHAMBLFERT,Chambal Fertilisers and Chemicals Ltd.,,25.69,25.69,33.1,165.22,165.22,7.5,667.28,49.98,42.57,34.88,25.69,,7.48,6.37,5.22,3.85,15.55,18.92,8.54,0.47,2.18,,1.79,1.35,3.79,29.19,22.65,70.81,77.35,,"14,199.54",0.51,6.83,0.4,70.8,1.6,0.4,0.1,
CHEMFAB,Chemfab Alkalis Ltd.,,46.76,46.29,62.83,256.11,256.11,1.25,233.65,82.87,66.73,64.18,46.69,,35.46,28.56,27.46,19.98,18.23,25.71,16.02,0,0.87,,2.74,2.37,3.36,2.66,1.98,97.34,98.02,,314.63,0.95,2.68,0.96,97.33,0.88,0.96,0.21,
CHENNPETRO,Chennai Petroleum Corporation Ltd.,,237.31,237.31,275.82,421.8,421.8,27,"5,153.09",383.61,345.1,322.93,237.31,,7.44,6.69,6.26,4.6,56.26,55.5,22.3,0.59,4.62,,1.16,0.26,9.95,0,0,0,0,,"7,769.39",0.1,1.36,0.05,0,0.56,0.05,1,
