Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield,
ATGL,Adani Total Gas Ltd.,,4.82,4.82,5.84,26.71,26.71,0.25,39.81,8.25,7.22,6.51,4.82,,20.72,18.14,16.35,12.1,18.03,23.04,9.4,0.47,0.87,,0.39,0.35,0,5.19,4.27,94.81,95.73,,"96,378.08",22.01,106.22,21.78,94.8,32.46,21.78,0.01,
ATLASCYCLE,Atlas Cycle Industries Ltd.,,-35.75,-35.75,-32.23,-49.66,-49.66,0,2.66,-32.16,-35.68,-35.75,-35.75,,"-1,207.93","-1,340.11","-1,342.76","-1,342.76",0,97.26,-20.12,-0.28,0.01,,0.36,0.28,0.26,0,0,0,0,,27.34,15.79,-1.31,10.89,0,-0.58,10.89,-1.23,
ATNINTER,ATN International Ltd.,,-0.13,-0.13,-0.13,-1.85,-1.85,0,0,-0.11,-0.11,-0.14,-0.14,,0,0,0,0,0,5.83,-29.61,-0.59,0,,0.02,0.02,0,0,0,0,0,,4.97,0,-11.75,0,0,-0.1,0,-0.71,
ATUL,Atul Ltd.,,187.05,187.05,242.13,"1,554.14","1,554.14",32.5,"1,714.11",303.14,248,247.28,186.98,,17.68,14.46,14.42,10.9,12.03,15.55,10.16,0,0.94,,2.82,1.92,3.68,17.37,13.41,82.63,86.59,,"20,557.86",4.06,22.97,4.06,82.62,4.48,4.06,0.03,
AUBANK,AU Small Finance Bank Ltd.,,21.86,21.74,24.2,164.64,164.64,1,123.07,21.42,,"2,897,389.94","504,210.91","45,122,362.46",,"173,109,879.75","30,125,006.33","2,695,918,364.98",,2.33,38.43,17.4,4.79,1.58,13,4.9,43.63,9.09,1.14,0.43,3.81,4.19,,"105,342.08",12.84,3.52,4.7,97.79,0.04,,
AURIONPRO,Aurionpro Solutions Ltd.,,16.93,16.93,21.96,119.09,119.09,2.5,184.25,30.51,25.49,21.74,16.93,,16.55,13.83,11.8,9.19,14.22,18.51,7.35,0.22,0.9,,1.47,1.42,0,14.76,11.38,85.24,88.62,,746.26,1.78,10.73,1.67,85.23,2.59,1.67,0.05,
AURUM,Aurum Proptech Ltd.,,-2.93,-2.93,-1.17,61.25,61.25,0,2.35,-1.62,-3.31,-3.55,-2.86,,-69.12,-141.17,-151.57,-121.77,-4.66,-5.14,-4.16,0.02,0.04,,4.48,4.48,0,0,0,0,0,,374.53,40.58,-58.7,43.9,0,1.68,43.9,-0.03,
AUSOMENT,Ausom Enterprise Ltd.,,0.88,0.88,1.03,85.44,85.44,0.5,130.47,2.41,2.26,1.14,0.88,,1.84,1.73,0.87,0.67,1.03,2.64,0.69,0.47,1.16,,1.38,1.13,12.48,113.23,97.09,-13.23,2.91,,130.31,0.73,39.67,0.44,-13.23,0.67,0.44,0.02,
AUTOAXLES,Automotive Axles Ltd.,,107.22,107.22,134.6,502.46,502.46,32,"1,537.65",173.62,146.25,144.32,107.22,,11.29,9.51,9.38,6.97,21.33,28.15,14,0.01,2.11,,2.37,1.75,7.79,13.99,11.14,86.01,88.86,,"3,543.37",1.52,13.5,1.54,86,4.71,1.54,0.05,
AVADHSUGAR,Avadh Sugar & Energy Ltd.,,50.07,50.07,75.61,445.17,445.17,10,"1,397.72",131.89,106.35,71.73,50.07,,9.43,7.6,5.13,3.58,11.24,17.15,4.14,1.2,1.15,,1,0.08,1.84,19.97,13.22,80.03,86.78,,"1,933.75",0.69,7.32,0.31,80.02,0.98,0.31,0.12,
AVANTIFEED,Avanti Feeds Ltd.,,17.09,17.09,18.78,129.43,129.43,6.25,296.62,24.26,22.57,22.52,17.09,,8.17,7.61,7.59,5.76,13.2,17.22,11.27,0,2.02,,5.88,3.87,5.44,36.57,33.28,63.43,66.72,,"4,398.77",1.09,13.31,1.15,63.42,2.62,1.15,0.05,
AVTNPL,AVT Natural Products Ltd.,,4.93,4.93,5.8,28.9,28.9,1,38.23,7.86,6.99,6.71,4.93,,20.56,18.26,17.55,12.88,17.05,23.35,14.63,0.03,1.22,,7.26,3.85,1.49,20.29,17.22,79.71,82.78,,"1,209.22",2.08,10.1,2.07,79.7,2.74,2.07,0.06,
AXISBANK,Axis Bank Ltd.,,31.17,31.02,73.69,407.61,407.61,1,276.79,31.13,,"9,267,205.55","1,042,425.13","195,025,795.06",,"173,449,624.44","19,510,546.84","3,650,199,697.35",,1.57,47.15,11.24,-8.12,0.72,7.63,3.26,49.05,6.46,1.25,-0.52,3.01,3.2,,"1,331,259.85",15.63,2.11,3.1,96.79,0.04,,
AXISCADES,Axiscades Technologies Ltd.,,-5.21,-5.21,-2.33,40.84,40.84,0,74.06,11.08,8.22,-4.88,-5.19,,14.95,11.09,-6.59,-7,-12.7,8.83,-3.53,2,0.55,,0.58,0.58,0,0,0,0,0,,"1,317.42",4.65,31.11,3.62,0,6.56,3.62,-0.02,
AYMSYNTEX,AYM Syntex Ltd.,,1.43,1.41,12.65,83.46,83.46,0,289.51,20.48,9.26,2.11,1.42,,7.07,3.19,0.72,0.49,1.7,7.99,0.77,0.64,1.58,,1.22,0.63,4.51,0,0,0,0,,556.18,0.38,5.39,0.21,0,0.74,0.21,0.02,
