Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
PKTEA,Peria Karamalai Tea and Produce Company Ltd.,,44.58,0,44.58,51.54,0.65,52.19,,3.26,5.23,0,0.5,28.16,1.97,3.09,13.14,55.35,-3.16,0,-3.16,,0.06,0,-0.12,0.26,0.2,-3.36,-3.36,-3.36,,,-10.84,-10.84,,0,0,,0,0.0,,0.31,0.0,5
PLASTIBLEN,Plastiblends India Ltd.,,767.41,0,767.41,768.52,5.21,773.73,,588.7,0.01,0,4.32,36.37,2.12,16.43,89.28,737.24,36.49,0,36.49,,10.01,0,-0.13,-0.24,9.64,26.85,26.85,26.85,,,10.33,10.33,,0,0,,0,0.0,,10.4,0.0,80
PNB,Punjab National Bank,,"57,319.23","25,142.86","1,890.39",791.63,"85,144.11","12,142.53","97,286.64",,"50,652.47","14,810.01",896.56,"8,398.85","24,105.41","1,781.06",0,"18,240.49","20,021.55","94,779.44","2,507.20","2,507.20",0,"2,507.20",,626.8,52.15,861.74,0,715.72,0.0,0.79,"2,507.20",,,2.28,2.28,,33,,,,,
PNC,Pritish Nandy Communications Ltd.,,18.25,0,18.25,18.25,0.55,18.8,,0,0,15.48,0.06,3.37,0.12,0.33,3.54,22.9,-4.09,0,-4.09,,0,0,-0.04,0,-0.04,-4.06,-4.06,-4.06,,,-2.8,-2.8,,0,0,,0,0.0,,0,0.0,0
PODDARMENT,Poddar Pigments Ltd.,,383.34,46.12,337.22,340.67,5.59,346.26,,237.68,0,10.61,-1.81,31.12,0.27,6.2,25.29,309.37,36.89,0,36.89,,8.18,0,1.27,0.1,9.55,27.34,27.34,27.34,,,25.77,25.77,,107.35,130.34,,0,0.0,,6.37,0.0,35
POLYMED,Poly Medicure Ltd.,,"1,061.47",0,"1,061.47","1,068.05",36.29,"1,104.33",,394.84,5.21,0,-15.52,188.35,8.3,55.64,230.68,867.51,236.83,0,236.83,,58.7,0,-1.1,0.18,57.78,179.04,179.04,179.04,,,18.67,18.65,,0,0,,0,0.0,,23.98,0.0,60
POLYPLEX,Polyplex Corporation Ltd.,,"1,639.55",0,"1,639.55","1,647.86",257.17,"1,905.03",,"1,165.05",0.35,0,-14.11,96.94,0.71,47.92,286.68,"1,583.54",321.49,0,321.49,,24.75,0,2.29,-0.18,26.86,294.63,294.63,294.63,,,93.85,93.85,,0,0,,0,0.0,,332.76,0.0,880
PONNIERODE,Ponni Sugars (Erode) Ltd.,,429.23,0,429.23,435.43,15.06,450.49,,355.4,0,0,-9.2,20.79,0.35,7.58,27.95,402.87,47.62,0,47.62,,8.54,0,0.74,0,9.28,38.34,38.34,38.34,,,44.58,44.58,,0,0,,0,0.0,,4.73,0.0,65
POONAWALLA,Poonawalla Fincorp Ltd.,,"1,940.33",0,"1,940.33","1,940.33",69.7,"2,010.03",,0,0,0,0,514.8,595.28,61.41,237.71,"1,264.67",745.36,21.21,766.57,,24.18,0,157.45,0,181.63,584.94,584.94,584.94,,,7.64,7.57,,0,0,,0,0.0,,30.6,0.0,100
POWERGRID,Power Grid Corporation of India Ltd.,,"41,857.57",0,"41,857.57","43,343.05","2,625.02","45,968.07",,0,0,0,0,"2,504.96","9,744.25","12,939.88","3,564.29","28,753.38","17,214.69",256.43,"17,471.12",,"2,987.43",0,-775.57,-73.76,"2,138.10","15,333.02","15,333.02","15,333.02",,,21.98,21.98,,0,0,,0,0.0,,"6,975.45",0.0,188
POWERMECH,Power Mech Projects Ltd.,,"3,531.34",0,"3,531.34","3,532.09",13.05,"3,545.14",,520.88,0,"2,059.30",-13.83,526.85,87.6,40.81,41.69,"3,263.30",281.84,0,281.84,,73.14,0,-0.57,0,72.57,209.27,209.27,209.27,,,141.38,141.38,,0,0,,0,0.0,,0,0.0,20
PPAP,PPAP Automotive Ltd.,,491.69,0,491.69,492.32,3.3,495.62,,309.71,0,0,-8.87,79.04,10.3,29.54,66.88,486.61,9.01,0,9.01,,0.93,0,0.83,0.44,2.2,6.81,6.81,6.81,,,4.86,4.84,,0,0,,0,0.0,,3.5,0.0,15
PPL,Prakash Pipes Ltd.,,709.21,0.00,709.21,709.21,21.61,730.82,,525.65,0.00,0.00,6.64,31.07,3.11,12.18,62.69,641.34,89.48,0.00,89.48,,19.10,0.00,-0.91,0.0,18.19,71.29,71.29,71.29,,,29.81,29.81,,0.0,0.00,,0.0,0.0,,2.87,0.0,12.00
PRAENG,Prajay Engineers Syndicate Ltd.,,29.83,0,29.83,29.83,18.89,48.72,,0,0,21.43,0,3.25,3.95,4.03,23.33,56,-7.28,0,-7.28,,0,0,0.29,0,0.29,-7.57,-7.57,-7.57,,,-1.08,-1.08,,0,0,,0,0.0,,0,0.0,0
PRAKASHSTL,Prakash Steelage Ltd.,,91.06,0,91.06,94.97,1.6,96.57,,62.37,15.39,0,0.47,2.8,0.09,0.91,11.45,93.49,3.09,0,3.09,,0,0,-1.06,0,-1.06,4.15,4.15,4.15,,,0.24,0.24,,0,0,,0,0.0,,0,0.0,0
PRAXIS,Praxis Home Retail Ltd.,,379.07,0,379.07,386.05,9.37,395.42,,0,163.18,0,73.31,60.37,21.76,36.03,92.89,447.53,-52.12,31.1,-21.01,,0,0,0,0,0,-21.01,-21.01,-21.01,,,-2.79,-2.79,,0,0,,0,0.0,,0,0.0,0
