Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
GSS,GSS Infotech Ltd.,,18.36,0,18.36,18.36,0.4,18.76,,0,0,0.52,0,5.78,0.06,0.01,6.16,12.54,6.22,0,6.22,,0.93,0,0.03,-0.11,0.84,5.37,5.37,5.37,,,3.17,3.17,,0,0,,0,0.0,,0,0.0,0
GTL,GTL Ltd.,,186.33,0,186.33,186.41,5.6,192.01,,0,0,25.06,0,65.15,25.66,4.3,115.06,235.23,-43.22,100.43,57.21,,0,0,0,0,0,57.21,57.21,57.21,,,3.63,3.63,,0,0,,0,0.0,,0,0.0,0
GTLINFRA,GTL Infrastructure Ltd.,,"1,457.86",0,"1,457.86","1,457.86",27.47,"1,485.33",,0,0,817.75,0,63.4,781.93,503.57,453.56,"2,715.70","-1,230.37",-586.54,"-1,816.91",,0,0,0,0,0,"-1,816.91","-1,816.91","-1,816.91",,,-1.41,-1.41,,0,0,,0,0.0,,0,0.0,0
GTPL,GTPL Hathway Ltd.,,"1,694.80",0,"1,694.80","1,694.80",38.04,"1,732.84",,0,0,"1,177.25",0,70.63,8.18,158.91,200.81,"1,615.78",117.06,-24.15,92.91,,13.24,0,12.48,-4.54,21.18,71.72,71.72,71.72,,,6.38,6.38,,0,0,,0,0.0,,44.99,0.0,40
GUJAPOLLO,Gujarat Apollo Industries Ltd.,,23.79,0,23.79,23.9,12.24,36.15,,16,0,0,1.72,4.83,1.08,2.27,8.59,34.49,1.66,0,1.66,,0.15,0,-0.5,0,-0.35,2.01,2.01,2.01,,,1.7,1.7,,0,15.09,,0,0.0,,2.36,0.0,20
GUJGASLTD,Gujarat Gas Ltd.,,"17,211.97",546.76,"16,665.21","16,759.40",101.27,"16,860.67",,"13,276.19",0,0,-2.76,195.58,40.35,428.26,898.4,"14,836.02","2,024.65",0,"2,024.65",,463.38,0,35.8,0,499.18,"1,525.47","1,525.47","1,525.47",,,22.16,22.16,,0,0,,0,0.0,,137.68,0.0,333
GUJRAFFIA,Gujarat Raffia Industries Ltd.,,39.24,0.00,39.24,39.24,2.14,41.38,,28.22,0.00,0.00,0.64,2.25,1.06,1.28,6.64,40.10,1.28,0.00,1.28,,0.20,0.00,0.00,0.05,0.25,1.03,1.03,1.03,,,1.90,1.9,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
GULFOILLUB,Gulf Oil Lubricants India Ltd.,,"2,991.46",0,"2,991.46","2,999.10",47.12,"3,046.22",,"1,556.97",349.5,0,-38.8,135.21,37.64,39.61,653.38,"2,733.52",312.7,0,312.7,,81.97,0,-1.57,0,80.4,232.3,232.3,232.3,,,47.3,47.16,,0,0,,0,0.0,,24.51,0.0,"1,250.00"
GULFPETRO,GP Petroleums Ltd.,,790.13,0,790.13,790.39,1.05,791.44,,422.34,258.97,0,18.45,27.92,-0.74,3.56,26.27,756.77,34.67,0,34.67,,9.51,0,-0.04,0,9.48,25.19,25.19,25.19,,,4.94,4.94,,0,0,,0,0.0,,0,0.0,0
GULPOLY,Gulshan Polyols Ltd.,,"1,161.87",0,"1,161.87","1,179.73",7.06,"1,186.79",,702.31,6.06,0,-9.75,32.68,6.13,28.73,360.26,"1,126.41",60.38,0,60.38,,14.51,0,0.51,0,15.02,45.36,45.36,45.36,,,8.73,8.73,,0,702.31,,0.27,3.63,,5.2,0.0,50
GVKPIL,GVK Power & Infrastructure Ltd.,,10.00,0.00,10.00,10.00,7.86,17.86,,0.00,0.00,0.00,0.00,1.01,0.00,0.11,9.73,10.85,7.01,0.00,7.01,,0.55,0.00,0.00,0.0,0.55,6.46,6.46,6.46,,,0.04,0.04,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
HAL,Hindustan Aeronautics Ltd.,,"26,360.56",0,"26,360.56","26,927.85","1,671.80","28,599.65",,"10,010.26",799.15,0,-691.45,"4,895.89",57.91,"1,783.91","2,155.39","22,106.71","6,492.94",0,"6,492.94",,"2,250.00",0,-594.77,-973.46,681.77,"5,811.17","5,811.17","5,811.17",,,173.79,173.79,,"8,262.31","2,418.24",,0,0.0,,"1,671.94",0.0,550
HARRMALAYA,Harrisons Malyalam Ltd.,,458.84,0,458.84,486.77,7.12,493.88,,108.64,34.47,0,-1.22,177.97,12.23,4.36,139.65,476.1,17.78,0,17.78,,0,0,0,0,0,17.78,17.78,17.78,,,9.63,9.63,,0,0,,0,0.0,,0,0.0,0
HATSUN,Hatsun Agro Products Ltd.,,"7,228.27",0,"7,228.27","7,246.97",10.56,"7,257.53",,"5,134.21",8.66,0,40.2,223.68,125.92,361.52,"1,138.77","7,032.97",224.56,0,224.56,,64.92,0,-6.38,0.16,58.7,165.86,165.86,165.86,,,7.54,7.54,,0,0,,0,0.0,,129.34,0.0,600
HAVELLS,Havells India Ltd.,,"16,763.37",0,"16,763.37","16,868.38",177.02,"17,045.40",,"9,317.92","2,994.58",0,-641.2,"1,261.66",33.62,296.11,"2,332.46","15,595.15","1,450.25",0,"1,450.25",,364.41,0,10.89,0,375.3,"1,074.95","1,074.95","1,074.95",,,17.16,17.16,,0,0,,0,0.0,,469.88,0.0,750
HBLPOWER,HBL Power Systems Ltd.,,"1,338.71",0,"1,338.71","1,349.75",17.84,"1,367.59",,825.39,1.08,148.85,0.16,104.33,6.23,34.31,122.24,"1,242.59",125,1.33,126.33,,31,0,-0.19,-0.01,30.79,95.54,95.54,95.54,,,3.42,3.42,,0,0,,0,0.0,,11.09,0.0,45
HBSL,HB Stockholdings Ltd.,,2.98,0,2.98,2.98,0.01,2.99,,0,0,2.73,0,0.89,0.04,0.24,1.16,5.05,-2.06,0,-2.06,,-0.11,0,0.01,0,-0.1,-1.96,-1.96,-1.96,,,-2.74,-2.74,,0,0,,0,0.0,,0.71,0.0,10
HCC,Hindustan Construction Company Ltd.,,"4,916.83",0,"4,916.83","5,222.01",61.22,"5,283.23",,0,0,"3,737.65",0,323.78,663.97,78.05,448.19,"5,251.64",31.59,223.3,254.89,,1.66,0,-0.19,0,1.47,253.42,253.42,253.42,,,1.67,1.67,,0,0,,0,0.0,,0,0.0,0
HCLTECH,HCL Technologies Ltd.,,"46,276.00",0,"46,276.00","46,276.00","1,031.00","47,307.00",,0,168,"7,291.00",-12,"19,799.00",127,"2,431.00","2,787.00","32,591.00","14,716.00",0,"14,716.00",,"3,045.00",0,212,0,"3,257.00","11,459.00","11,459.00","11,459.00",,,42.32,42.27,,0,0,,0,0.0,,"12,995.00",0.0,"2,400.00"
HDFCAMC,HDFC Asset Management Company  Ltd.,,"2,166.81",0,"2,166.81","2,166.81",315.76,"2,482.57",,0,0,3.68,0,312.67,9.69,53.34,232.58,611.96,"1,870.61",0,"1,870.61",,421.26,0,25.43,0,446.69,"1,423.92","1,423.92","1,423.92",,,66.75,66.75,,0,0,,0,0.0,,895.86,0.0,960
HDFCBANK,HDFC Bank Ltd.,,"127,095.86","31,311.16",996.79,"2,181.74","161,585.54","31,214.83","192,800.36",,"74,743.32","15,512.36","2,242.48","29,897.24","47,652.08","14,596.28",-219.68,"11,919.66","26,296.26","148,691.66","44,108.70","44,108.70","93,185.67","137,294.38",,"11,027.18",4.61,0,"8,604.52",0,0.0,"112,960.00","137,294.38",,,79.25,78.89,,"1,900.00",,,,,
HDFCLIFE,HDFC Life Insurance Company Ltd.,,"56,764.01",0,"56,764.01","70,081.27","1,407.08","71,488.35",,0,0,0,0,"3,060.45",82.32,75.3,"66,944.50","70,166.88","1,321.47",0,"1,321.47",,71.4,0,0,0,71.4,"1,250.07","1,360.13","1,360.13",,,6.38,6.37,,0,0,,0,0.0,,359.22,0.0,19
HEG,HEG Ltd.,,"2,435.32",0.00,"2,435.32","2,467.24",109.14,"2,576.38",,"1,312.64",0.00,0.00,-397.49,91.83,26.01,102.30,840.62,"1,975.90",600.48,0.00,600.48,,155.42,0.00,-9.29,-1.16,144.96,455.51,455.51,455.51,,,118.02,118.02,,0.0,0.00,,0.0,0.0,,154.38,0.0,425.00
HERCULES,Hercules Hoists Ltd.,,148.91,0.0,148.91,150.77,17.69,168.46,,87.74,0.00,0.0,-2.53,19.31,0.55,3.96,29.53,138.56,29.89,86.23,116.12,,10.22,0.0,1.43,1.16,12.81,103.31,103.31,103.31,,,32.28,32.28,,0.0,0.00,,0.0,0.0,,7.52,0.0,300.0
HERITGFOOD,Heritage Foods Ltd.,,"3,207.25",0,"3,207.25","3,208.68",11.35,"3,220.02",,"2,697.16",84.68,0,-175.87,203.92,3.17,53.85,263.57,"3,130.69",89.34,0,89.34,,22.71,0,0.74,0,23.45,65.89,65.89,65.89,,,7.19,7.19,,0,0,,0,0.0,,11.6,0.0,50
HEROMOTOCO,Hero Motocorp Ltd.,,"33,406.21",0,"33,406.21","33,805.65",565.16,"34,370.81",,"24,019.73",47.43,0,-209.04,"2,189.83",19.87,656.96,"3,771.47","30,496.25","3,874.56",0,"3,874.56",,941.9,0,22.08,0,963.98,"2,910.58","2,910.58","2,910.58",,,145.66,145.52,,0,0,,0,0.0,,"1,998.33",0.0,"5,000.00"
HEUBACHIND,Heubach Colorants India Ltd.,,757.41,0,757.41,766.42,5.42,771.84,,387.28,72.55,0,19,69.2,0.23,20.4,156.91,725.57,46.27,-6.3,39.97,,14.06,0,-2.23,8.96,20.79,19.18,19.18,19.18,,,8.31,8.31,,0,0,,0,0.0,,0,0.0,0
HGINFRA,HG Infra Engineering Ltd.,,"4,401.26",0,"4,401.26","4,418.54",18.06,"4,436.59",,"2,143.50",0,"1,304.00",0,195.88,63.28,96.35,64.85,"3,867.86",568.74,0,568.74,,156.7,0,-9.35,0,147.35,421.38,421.38,421.38,,,64.66,64.66,,0,0,,0,0.0,,6.52,0.0,0
HIKAL,Hikal Ltd.,,"2,004.71",0.00,"2,004.71","2,023.03",5.41,"2,028.44",,"1,121.59",0.00,0.00,-14.56,220.40,48.10,109.01,438.53,"1,923.08",105.36,0.00,105.36,,30.48,0.00,-3.49,0.0,26.98,78.38,78.38,78.38,,,6.36,6.36,,0.0,0.00,,0.0,0.0,,12.33,0.0,60.00
HIL,HIL Ltd.,,"2,148.53",0,"2,148.53","2,155.20",32.52,"2,187.73",,"1,201.57",64.35,0,-12.27,161.96,6.63,58.06,543.75,"2,024.05",163.68,0,163.68,,30.23,0,3.35,0,33.58,130.1,130.1,130.1,,,172.95,172.91,,0,0,,0,0.0,,48.88,0.0,450
HIMATSEIDE,Himatsingka Seide Ltd.,,"1,844.02",0,"1,844.02","2,052.74",77.4,"2,130.14",,"1,033.52",0,0,144.25,240.21,214.58,118.04,421.88,"2,172.48",-42.34,0,-42.34,,0,0,-12.15,0,-12.15,-30.2,-30.2,-30.2,,,-3.07,-3.07,,0,0,,0,0.0,,4.92,0.0,0
HINDCOMPOS,Hindustan Composites Ltd.,,282.01,0,282.01,282.69,0.85,283.53,,132.79,0,0,0.68,38.79,0.13,8.73,69.82,250.94,32.6,0,32.6,,5.16,0,-0.24,0.21,5.12,27.47,27.47,27.47,,,18.6,18.6,,0,0,,0,0.0,,2.95,0.0,40
HINDCOPPER,Hindustan Copper Ltd.,,"1,665.14",0,"1,665.14","1,677.33",95.87,"1,773.21",,15.22,0,715.78,-7.91,304.54,15.93,174.92,159.06,"1,377.54",395.66,0,395.66,,86.15,0,14.2,0,100.35,295.31,295.31,295.31,,,3.05,3.05,,0,0,,0,118.64,,112.17,0.0,18
HINDMOTORS,Hindustan Motors Ltd.,,0,0,0,0,3.79,3.79,,0,0,0,0,1.5,0.13,0.53,3.66,5.81,-2.02,1,-1.02,,0,0,0,-1.07,-1.07,0.05,0.05,0.05,,,0,0,,0,0,,0,0.0,,0,0.0,0
HINDPETRO,Hindustan Petroleum Corporation Ltd.,,"464,683.79","25,789.36","438,894.43","440,402.99","2,069.14","442,472.13",,"123,096.43","302,430.45",0.00,"1,491.89","2,962.81","2,131.85","4,329.97","17,943.64","454,387.04","-11,914.91",0.00,"-11,914.91",,0.00,0.00,"-2,894.77",-46.11,"-2,940.88","-8,974.03","-8,974.03","-8,974.03",,,-63.26,-63.26,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
HINDUNILVR,Hindustan Unilever Ltd.,,"58,154.00",0,"58,154.00","59,144.00",640,"59,784.00",,"19,229.00","11,968.00",0,-53,"2,665.00",101,"1,030.00","11,703.00","46,643.00","13,141.00",-62,"13,079.00",,"2,922.00",0,195,0,"3,117.00","9,962.00","9,962.00","9,962.00",,,42.4,42.4,,0,0,,0,0.0,,"8,459.00",0.0,"3,900.00"
HINDZINC,Hindustan Zinc Ltd.,,"33,272.00",0,"33,272.00","34,098.00","1,382.00","35,480.00",,0,0,0,-143,843,333,"3,264.00","15,886.00","20,183.00","15,297.00",0,"15,297.00",,"3,431.00",0,"1,346.00",0,"4,777.00","10,520.00","10,520.00","10,520.00",,,24.9,24.9,,0,0,,0,0.0,,"31,901.00",0.0,"3,775.00"
HIRECT,Hind Rectifiers Ltd.,,357.71,0,357.71,359.1,0.26,359.36,,290.12,0,0,-10.55,39.07,8.13,5.14,25.37,357.28,2.08,-10.77,-8.68,,0,0,-2.32,0,-2.32,-6.36,-6.36,-6.36,,,-3.84,-3.84,,0,0,,0,0.0,,0,0.0,0
HISARMETAL,Hisar Metal Ltd.,,276.03,0,276.03,276.03,0.81,276.84,,212.19,0,26.26,0.27,8.65,5.53,2.17,6.19,261.27,15.57,0,15.57,,4.17,0,0.44,0.01,4.62,10.95,10.95,10.95,,,20.28,20.28,,0,0,,0,0.0,,0.54,0.0,10
HITECHCORP,Hitech Corporation Ltd.,,556.54,0.00,556.54,558.67,1.74,560.41,,347.04,0.00,0.00,3.05,35.63,13.77,28.60,98.76,526.86,33.56,3.81,37.36,,9.40,0.00,-0.37,0.0,9.03,28.33,28.33,28.33,,,16.49,16.49,,0.0,0.00,,0.0,0.0,,1.72,0.0,10.00
HITECHGEAR,The Hi-Tech Gears Ltd.,,755.42,0.00,755.42,781.81,8.79,790.61,,397.73,16.89,0.00,4.99,110.44,17.08,31.61,142.47,721.21,69.40,0.00,69.40,,18.74,0.00,-0.64,0.95,19.06,50.34,50.34,50.34,,,26.82,26.79,,0.0,0.00,,0.0,0.0,,0.00,0.0,25.00
HLVLTD,HLV Ltd.,,172.88,0,172.88,172.88,9.97,182.85,,0,0,13.38,0,53.13,5.11,11.14,90.49,173.25,9.6,-1,8.61,,0.96,0,0,0,0.96,7.65,7.65,7.65,,,0.12,0.12,,0,0,,0,0.0,,0,0.0,0
HMVL,Hindustan Media Ventures Ltd.,,667.73,0.00,667.73,713.40,77.10,790.50,,314.16,0.00,0.00,-0.05,160.36,16.59,30.44,324.80,846.30,-55.80,-7.59,-63.39,,0.21,0.00,-16.11,0.0,-15.90,-47.49,-47.49,-47.49,,,-6.45,-6.45,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
HONAUT,Honeywell Automation Ltd.,,"3,431.84",0,"3,431.84","3,447.59",128.25,"3,575.84",,"1,470.42",379.76,0,-16.95,625.9,3.96,51.89,469.6,"2,984.58",591.26,0,591.26,,159.4,0,-6.85,0.7,153.25,438.01,438.01,438.01,,,495.4,495.4,,0,0,,0,0.0,,79.57,0.0,950
HOVS,HOV Services Ltd.,,12.06,0.00,12.06,12.06,1.94,14.00,,0.00,0.00,0.00,0.00,8.16,0.16,0.60,1.49,10.42,3.58,0.00,3.58,,1.00,0.00,-0.03,0.0,0.97,2.61,2.61,2.61,,,2.08,2.08,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
HPL,HPL Electric & Power Ltd.,,"1,214.87",0.00,"1,214.87","1,214.87",3.22,"1,218.09",,814.60,0.00,0.00,3.70,138.63,70.91,34.96,112.54,"1,175.33",42.75,0.00,42.75,,7.71,0.00,7.28,0.0,15.00,27.76,27.76,27.76,,,4.32,4.32,,0.0,0.00,,0.0,0.0,,0.12,0.0,10.00
HSCL,Himadri Speciality Chemical Ltd.,,"4,171.83",0,"4,171.83","4,171.84",27.97,"4,199.82",,"3,297.28",0,0,-30.14,90.95,65.88,48.66,425.38,"3,898.00",301.81,-30,271.81,,47.46,0,16.55,0,64,207.81,207.81,207.81,,,4.94,4.94,,0,0,,0,0.0,,8.39,0.0,25
HTMEDIA,HT Media Ltd.,,867.41,0,867.41,921.17,91.11,"1,012.28",,294.24,0,0,0.12,207.21,58.69,85.13,472.18,"1,117.57",-105.29,-103.46,-208.75,,-2.01,0,68.41,0,66.4,-275.15,-275.15,-275.15,,,-11.9,-11.9,,0,0,,0,0.0,,0,0.0,0
HUBTOWN,Hubtown Ltd.,,198.45,0,198.45,219.03,15.8,234.83,,0,1.51,86.69,44.34,9.32,47.54,2.7,63.81,255.91,-21.08,0,-21.08,,0,0,-31.89,0,-31.89,10.81,10.81,10.81,,,1.47,1.47,,0,0,,0,0.0,,0,0.0,0
HUDCO,Housing & Urban Development Corporation Ltd.,,"7,049.46",0,"7,049.46","7,049.46",36.72,"7,086.18",,0,0,2.13,0,186.62,"4,507.08",11.31,163.32,"4,796.77","2,289.41",0,"2,289.41",,435,0,154.19,-1.4,587.79,"1,701.62","1,701.62","1,701.62",,,8.5,8.5,,0,0,,0,0.0,,150.14,0.0,39
IBULHSGFIN,Indiabulls Housing Finance Ltd.,,"7,363.76",0,"7,363.76","7,363.76",17.02,"7,380.78",,0,0,0,0,477.29,"5,131.09",82.65,198.79,"6,274.97","1,105.81",0,"1,105.81",,0,0,286.64,0,286.64,819.17,819.17,819.17,,,17.38,17.28,,0,0,,0,0.0,,0,0.0,63
ICICIBANK,ICICI Bank Ltd.,,"83,942.97","20,888.46","1,850.51","2,549.40","109,231.34","19,831.45","129,062.79",,"47,102.74","12,059.93","1,304.84","19,488.52","32,873.24","10,254.48",270.25,"6,665.58","17,190.31","97,166.29","31,896.50","31,896.50","43,671.34","75,567.84",,"7,974.20",87.82,"5,000.00",0,"3,479.45",0.0,"56,356.99","75,567.84",,,45.79,44.89,,400,,,,,
ICICIGI,ICICI Lombard General Insurance Company Ltd.,,"14,822.85",0,"14,822.85","17,875.78",994.78,"18,870.57",,0,0,0,0,"1,105.79",80.62,142.35,"15,367.86","16,758.03","2,112.53",0,"2,112.53",,431.67,0,80.29,-128.48,383.48,"1,729.05","1,729.05","1,729.05",,,35.21,35.16,,0,0,,0,0.0,,466.51,0.0,100
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,,"38,559.53",0,"38,559.53","49,400.19","1,955.30","51,355.50",,0,0,0,0,"1,451.35",113.18,83.5,"48,192.53","49,988.42","1,367.07",0,"1,367.07",,270.45,0,0,0,270.45,"1,096.62",810.67,810.67,,,5.64,5.63,,0,0,,0,0.0,,79.06,0.0,6
ICIL,Indo Count Industries Ltd.,,"2,554.20",0.00,"2,554.20","2,783.59",34.14,"2,817.73",,"1,347.32",30.72,0.00,-91.78,234.63,57.65,62.55,853.21,"2,494.32",323.41,0.00,323.41,,72.47,0.00,12.78,0.0,85.25,238.17,238.17,238.17,,,12.03,12.03,,0.0,0.00,,0.0,0.0,,39.48,0.0,100.00
IDEA,Vodafone Idea Ltd.,,"41,884.10",0.00,"41,884.10","41,917.10",270.70,"42,187.80",,0.00,5.30,"22,028.20",0.00,"1,685.10","23,343.90","22,362.20","1,922.60","71,347.30","-29,159.50",-148.30,"-29,307.80",,0.00,0.00,0.00,0.0,0.00,"-29,307.80","-29,307.80","-29,307.80",,,-8.43,-8.43,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
IDFCFIRSTB,IDFC First Bank  Ltd.,,"19,159.38","3,232.21",148.37,187.59,"22,727.54","4,466.97","27,194.51",,"10,092.21","3,742.23",424.68,"8,003.43","12,170.35",328.57,501.43,"1,664.82","2,494.82","24,757.38","2,437.13","2,437.13","-3,870.49","-1,433.35",,609.5,95.5,0,0,0,0.0,"-2,555.85","-1,433.35",,,3.91,3.84,,0,,,,,
IEX,Indian Energy Exchange Ltd.,,400.6,0,400.6,400.85,73.21,474.06,,0,0,0,0,34.65,2.46,18.59,29.71,85.4,388.66,0,388.66,,96.24,0,-0.28,0,95.96,292.7,292.7,292.7,,,3.27,3.27,,0,0,,0,0.0,,0,0.0,0
IFBAGRO,IFB Agro Industries Ltd.,,"1,552.61",324.19,"1,228.42","1,246.46",15.37,"1,261.83",,678.89,212.51,0,-25.25,59.61,1.84,18.74,245.83,"1,192.17",69.66,0,69.66,,14.67,0,3.99,0,18.66,51,51,51,,,54.45,54.45,,0,0,,0,0.0,,0,0.0,0
IFBIND,IFB Industries Ltd.,,"4,004.98",0,"4,004.98","4,104.05",22.2,"4,126.25",,"2,174.96",352.27,0,-35,395.8,29.15,119.44,"1,055.23","4,091.85",34.4,0,34.4,,0.26,0,16.9,0,17.16,17.24,17.24,17.24,,,4.25,4.25,,0,0,,0,0.0,,0,0.0,0
IFGLEXPOR,IFGL Refractories Ltd.,,821.18,0,821.18,833.37,12.2,845.57,,373.12,92.56,0,-5.94,60.81,4.56,44.29,190.89,760.28,85.29,0,85.29,,23.8,0,0.32,0,24.11,61.17,61.17,61.17,,,16.97,16.97,,0,0,,0,0.0,,25.23,0.0,70
IGARASHI,Igarashi Motors Ltd.,,635.94,0,635.94,656.25,8.02,664.26,,445.82,0,0,-9.64,58.53,12.14,47.16,101.16,655.16,9.1,0,9.1,,3.39,0,0.47,0,3.86,5.24,5.24,5.24,,,1.66,1.66,,0,0,,0,0.0,,0,0.0,10
IGL,Indraprastha Gas Ltd.,,"15,542.67","1,457.17","14,085.50","14,145.85",261.91,"14,407.76",,0,"10,440.87",0,-4.85,188.18,10.59,363.36,"1,481.87","12,480.02","1,927.74",0,"1,927.74",,431.59,0,42.98,8.15,482.72,"1,445.02","1,445.02","1,445.02",,,20.64,20.64,,0,0,,0,0.0,,"1,295.00",0.0,650
IGPL,IG Petrochemicals Ltd.,,"2,349.38",0,"2,349.38","2,352.33",22.22,"2,374.56",,"1,787.34",0,0,-5.6,81.75,23.91,47.41,171.13,"2,105.94",268.62,0,268.62,,60.82,0,7.49,-0.02,68.29,200.33,200.33,200.33,,,65.05,65.05,,0,0,,0,0.0,,30.79,0.0,100
IITL,Industrial Investment Trust Ltd.,,15.28,0,15.28,15.28,0.65,15.92,,0,0,0,0,1.45,0.18,0.94,2.45,-35.22,51.14,0,51.14,,2.5,0,5.66,-0.01,8.15,42.99,42.99,42.99,,,19.07,19.07,,0,0,,0,0.0,,0,0.0,0
IMPAL,India Motor Parts and Accessories Ltd.,,705.05,0,705.05,707.59,30.38,737.97,,0,601,0,-11.91,32.15,0.01,0.91,24.03,646.19,91.78,0,91.78,,18.84,0,-0.73,0,18.11,73.67,73.67,73.67,,,59.03,59.03,,0,0,,0,0.0,,27.46,0.0,240
IMPEXFERRO,Impex Ferro Tech Ltd.,,143.38,0,143.38,143.38,1.65,145.03,,108.69,1.2,0,12,0.57,0.01,6.61,61.64,190.73,-45.69,12.09,-33.6,,0,0,0,0,0,-33.6,-33.6,-33.6,,,-3.82,-3.82,,0,0,,0,0.0,,0,0.0,0
INCREDIBLE,Incredible Industries Ltd.,,705.82,0,705.82,740.61,0.41,741.02,,696.24,0,0,-7.68,7.36,5.38,5.64,26.94,733.88,7.14,0,7.14,,3.13,0,-0.92,0.02,2.23,4.91,4.91,4.91,,,1.05,1.05,,0,696.24,,0,5.67,,0,0.0,0
INDBANK,Indbank Merchant Banking Services Ltd.,,18.26,0,18.26,18.26,3.09,21.35,,0,0,1.13,0,7.59,0.89,0.37,3.03,16.27,5.09,0,5.09,,0.91,0,0.67,0,1.58,3.5,3.5,3.5,,,0.79,0.79,,0,0,,0,0.0,,0,0.0,0
INDIACEM,India Cements Ltd.,,"5,180.69",0,"5,180.69","5,380.81",34.27,"5,415.08",,947.92,38.83,"2,593.59",-49.91,358.32,234.16,212.99,"1,666.52","6,002.44",-587.36,180.45,-406.91,,0,0,-218.36,0,-218.36,-188.55,-188.55,-188.55,,,-6.07,-6.07,,0,0,,0,0.0,,30.99,0.0,0
INDIAGLYCO,India Glycols Ltd.,,"6,567.02","3,990.78","2,576.24","2,650.07",27.59,"2,677.66",,"1,444.75",159.49,0,-22.13,87.13,95.19,89.65,683.31,"2,537.40",140.27,-17.57,122.7,,0,0,23.96,0,23.96,98.73,98.73,98.73,,,31.89,31.89,,0,0,,0,0.0,,23.22,0.0,75
INDIAMART,Indiamart Intermesh Ltd.,,938.82,0,938.82,938.82,112.88,"1,051.70",,0,0,0,0,399.22,4.68,19.27,277.98,701.14,350.56,-5.26,345.3,,91.99,0,-18.88,0,73.11,272.19,272.19,272.19,,,89.14,88.84,,0,0,,0,0.0,,6.11,0.0,200
INDIANB,Indian Bank,,"31,941.15","11,647.17",877.54,476.36,"44,942.21","7,143.06","52,085.28",,"24,716.75","7,527.23",528.81,"4,041.86","12,097.90",632.71,0,"9,356.21","9,988.92","46,803.57","5,281.70","5,281.70",129.77,"5,411.47",,"1,320.43",0,"2,695.00",0,"1,071.08",0.0,133.23,"5,411.47",,,42.41,42.41,,86,,,,,
INDIANCARD,Indian Card Clothing Ltd.,,50.59,0,50.59,56.96,12.57,69.53,,18.37,1.5,0,-3.29,14.27,2.12,4.68,23.54,61.2,8.33,-2.65,5.68,,1,0,0.34,-1.19,0.16,5.52,5.52,5.52,,,9.3,9.3,,0,0,,0,0.0,,29.71,0.0,250
INDIANHUME,Indian Hume Pipe Company Ltd.,,"1,540.65",0,"1,540.65","1,542.88",21.69,"1,564.58",,38.44,0,"1,252.48",-6.05,79.43,67.93,15.54,44.43,"1,492.20",72.38,0,72.38,,16.97,0,-0.3,0,16.67,55.7,55.7,55.7,,,11.5,11.5,,0,0,,0,0.0,,9.69,0.0,50
INDIGO,Interglobe Aviation Ltd.,,"53,607.67",0,"53,607.67","54,446.45","1,431.44","55,877.89",,0,0,"3,934.04",-1.24,"4,324.66","3,131.73","5,101.24","7,687.36","56,194.60",-316.72,0,-316.72,,0,0,0,0,0,-316.72,-316.72,-316.72,,,-8.22,-8.22,,0,0,,0,0.0,,0,0.0,0
INDNIPPON,India Nippon Electricals Ltd.,,646.21,0,646.21,656.25,40.17,696.42,,441.23,16.46,28.88,-3.2,79.71,0.42,14.62,40.21,618.33,78.09,-8.03,70.06,,11.56,0,0.63,0,12.19,57.87,57.87,57.87,,,25.58,25.58,,0,0,,0,0.0,,20.92,0.0,185
INDOCO,Indoco Remedies Ltd.,,"1,638.13",0,"1,638.13","1,666.69",2.33,"1,669.02",,412.02,102.72,0,6.55,321.15,25.03,70.6,539.36,"1,477.43",191.59,0,191.59,,55.2,0,-4.97,0,50.23,141.36,141.36,141.36,,,15.34,15.32,,0,0,,0,0.0,,20.73,0.0,113
